                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0574,                 1.8558,                 1.5763,                0.64313,                0.36578,                0.46807,                0.21321,                  1.971,                 1.6163,                  1.757,               0.067264,             0.00033067,             0.00033067
                      1,                 1.9199,                  1.489,                 1.5846,                0.66351,                0.44905,                0.52192,                0.22392,                 1.9858,                 1.6009,                 1.8567,               0.034257,             0.00065743,             0.00065743
                      2,                 1.8653,                 1.5269,                 1.5264,                0.61641,                0.48526,                0.54588,                 0.2525,                 2.0779,                 1.7027,                 1.7991,              0.0012443,             0.00097759,             0.00097759
                      3,                 1.9116,                 1.4706,                 1.5316,                 0.7878,                 0.5396,                0.64067,                0.29069,                 1.8591,                 1.3085,                  1.785,              0.0009703,              0.0009703,              0.0009703
                      4,                 1.8212,                 1.3085,                 1.5333,                0.62968,                0.62376,                0.63639,                0.30945,                 1.8126,                 1.5701,                 1.7059,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.8824,                 1.2501,                 1.5172,                0.67731,                0.63366,                0.65428,                0.30535,                 1.9109,                 1.2688,                 1.7308,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.7727,                 1.2036,                 1.5029,                0.71268,                0.63366,                0.69437,                0.33106,                 1.8546,                 1.1773,                  1.685,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.7932,                 1.0769,                 1.4471,                 0.6165,                0.67327,                0.62066,                0.28717,                 2.0001,                 2.2867,                 1.8179,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.7941,                 1.2562,                 1.4787,                 0.7016,                0.61386,                0.64972,                0.30291,                 1.9368,                 1.3362,                 1.7113,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.7763,                 1.2042,                 1.4824,                0.70853,                0.64356,                0.66407,                0.32907,                 1.8499,                 1.4898,                 1.6705,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.7535,                 1.1203,                 1.4173,                0.73304,                0.65842,                0.69933,                0.36904,                 1.8087,                 1.1064,                 1.6413,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.7107,                 1.0652,                  1.461,                0.72139,                0.61526,                0.66605,                0.34746,                 1.8221,                 1.2216,                 1.6266,               0.000901,               0.000901,               0.000901
                     12,                 1.6781,                 1.0838,                 1.4112,                0.74484,                0.65031,                0.71462,                0.37046,                 1.8607,                 1.1101,                 1.7075,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.7211,                 1.0395,                 1.4069,                0.77607,                0.62871,                0.70517,                0.36436,                  1.768,                 1.1433,                 1.6572,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.6792,                 1.0735,                 1.3884,                0.74303,                0.69307,                0.71904,                 0.3743,                 1.7679,                 1.0585,                 1.6437,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.6923,                 1.0474,                 1.3811,                0.78465,                 0.6674,                0.72975,                0.38505,                 1.7904,                 1.2289,                 1.6163,              0.0008614,              0.0008614,              0.0008614
                     16,                  1.649,                0.99395,                 1.3714,                0.76249,                0.70297,                0.74161,                0.40464,                 1.7653,                 1.0975,                 1.6277,              0.0008515,              0.0008515,              0.0008515
                     17,                  1.568,                0.95447,                 1.3353,                 0.7916,                0.65347,                0.73897,                0.39997,                 1.7183,                 1.1284,                  1.616,              0.0008416,              0.0008416,              0.0008416
                     18,                  1.643,                 1.0263,                 1.3732,                0.73763,                0.66807,                0.71124,                0.39561,                 1.6612,                 1.0395,                 1.5371,              0.0008317,              0.0008317,              0.0008317
                     19,                 1.5843,                0.99591,                 1.3624,                0.86967,                0.73267,                0.78834,                0.43069,                 1.7193,                0.91868,                 1.6021,              0.0008218,              0.0008218,              0.0008218
                     20,                 1.5675,                0.94011,                  1.318,                0.84715,                0.74257,                0.79724,                0.41228,                 1.7652,                0.97466,                 1.6641,              0.0008119,              0.0008119,              0.0008119
                     21,                 1.6057,                 0.9167,                 1.4143,                0.78936,                0.69802,                0.76994,                0.40367,                 1.8112,                0.95511,                 1.6823,               0.000802,               0.000802,               0.000802
                     22,                 1.5239,                0.91599,                 1.3325,                0.82591,                0.58718,                0.72308,                0.39691,                 1.6679,                 1.0002,                 1.5427,              0.0007921,              0.0007921,              0.0007921
                     23,                  1.518,                0.88342,                 1.3306,                0.71887,                 0.7342,                0.73748,                0.39506,                 1.7318,                0.91793,                 1.5646,              0.0007822,              0.0007822,              0.0007822
                     24,                 1.5863,                0.89065,                 1.3545,                0.77901,                0.75039,                0.75876,                0.41434,                 1.6828,                0.97771,                 1.5874,              0.0007723,              0.0007723,              0.0007723
                     25,                 1.5394,                0.86429,                  1.307,                0.79188,                0.72772,                0.79274,                0.41009,                 1.7762,                 0.9589,                 1.6075,              0.0007624,              0.0007624,              0.0007624
                     26,                 1.5306,                0.83461,                 1.3182,                0.83118,                0.75556,                0.81245,                0.44778,                 1.6676,                0.91532,                 1.5463,              0.0007525,              0.0007525,              0.0007525
